@relation winequality-binary-training-0.1

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {'not good',good}

@data
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,good
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,good
7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,good
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,'not good'
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,'not good'
7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,good
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,good
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,good
6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,good
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,good
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,good
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,'not good'
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,good
6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,good
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,good
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,good
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,'not good'
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,'not good'
6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,good
