@relation 'AT: winequality-binary-training-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.509density-0.438alcohol+0.424residual sugar+0.404total sulfur dioxide+0.298free sulfur dioxide+0.212chlorides+0.172fixed acidity+0.149citric acid-0.14pH+0.042sulphates+0.005volatile acidity' numeric
@attribute '0.582fixed acidity-0.579pH+0.36 citric acid-0.291free sulfur dioxide-0.247total sulfur dioxide-0.209sulphates-0.063volatile acidity+0.05 alcohol-0.019density-0.017residual sugar-0.002chlorides' numeric
@attribute '-0.599volatile acidity+0.483citric acid+0.441sulphates+0.282free sulfur dioxide-0.201residual sugar+0.145pH-0.14chlorides+0.123total sulfur dioxide-0.113density+0.113fixed acidity+0.109alcohol' numeric
@attribute '-0.661chlorides-0.505sulphates+0.318free sulfur dioxide-0.283volatile acidity+0.267residual sugar-0.151citric acid+0.129alcohol-0.107pH+0.051total sulfur dioxide-0.051fixed acidity+0.013density' numeric
@attribute '0.625volatile acidity+0.379total sulfur dioxide+0.368alcohol+0.363free sulfur dioxide+0.206fixed acidity-0.204density+0.184sulphates-0.181chlorides-0.179pH-0.097residual sugar+0.081citric acid' numeric
@attribute '-0.563sulphates+0.54 chlorides+0.364free sulfur dioxide-0.289residual sugar-0.265density-0.183fixed acidity+0.163citric acid+0.152total sulfur dioxide-0.113volatile acidity-0.097pH+0.021alcohol' numeric
@attribute '0.703citric acid+0.439pH+0.291volatile acidity-0.277sulphates+0.209residual sugar-0.186free sulfur dioxide-0.182fixed acidity-0.118chlorides+0.113density+0.104alcohol-0.055total sulfur dioxide' numeric
@attribute '0.608fixed acidity+0.533pH-0.373residual sugar-0.272sulphates+0.223total sulfur dioxide-0.18citric acid-0.174alcohol-0.09chlorides+0.082density-0.075free sulfur dioxide+0.008volatile acidity' numeric
@attribute '0.629alcohol+0.448residual sugar+0.389chlorides+0.302fixed acidity+0.253pH-0.176citric acid-0.156total sulfur dioxide-0.141volatile acidity+0.121free sulfur dioxide+0.08 density-0sulphates' numeric
@attribute quality {'not good',good}

@data
1.635426,-1.609728,-1.307697,-1.615019,0.236283,2.535974,-0.959646,0.249759,0.711963,'not good'
2.065047,0.997959,0.057554,0.481126,0.434459,-0.152236,-0.746863,0.143233,0.730019,good
-1.539365,-0.720574,-0.876326,0.359671,-2.142181,0.711956,0.607525,0.609343,-0.769517,good
2.730363,-2.302346,0.271376,-0.218861,0.656264,-0.164543,0.870599,0.871537,-0.087676,good
2.926185,-1.405686,-0.649432,-0.461896,2.121361,-0.187944,1.371086,0.118761,-0.69638,good
0.126966,-0.612135,0.391395,0.329234,-0.436453,0.365678,-1.331669,-0.253807,0.513904,good
-3.192164,-0.525283,0.228301,0.501597,0.873717,-0.25495,0.591366,-1.146612,0.752533,good
2.383794,0.748628,-1.089163,-0.762517,2.626351,-0.640018,1.073732,0.83577,0.320296,'not good'
0.535212,1.394951,2.016608,0.178168,-0.227106,0.700979,-0.359553,1.047453,-0.649259,good
1.450187,1.43035,-0.812476,1.350684,-1.497743,-0.200437,-0.521075,-0.823538,-0.92241,good
-2.959609,0.260231,0.152895,0.593468,-0.128672,-0.253972,0.154755,0.016788,0.315936,good
1.783214,-0.70932,0.383264,-0.340579,0.934413,0.638942,1.073337,-0.38184,-0.788672,good
1.86064,0.096573,-0.110105,1.151939,-1.293153,0.034463,-0.201986,-0.905181,-0.202761,good
2.459842,0.876085,0.446484,-0.114548,0.395635,0.324259,2.200192,-0.219308,-1.028743,'not good'
-0.144435,-0.569842,-0.083725,1.3627,-0.567206,0.582494,0.028168,-0.623145,0.017396,'not good'
-0.934218,1.08154,1.413462,-0.64266,-0.446928,0.723764,0.49573,0.665678,0.025551,good
4.108693,-0.718386,0.204354,0.528367,0.591292,0.01561,0.489705,-0.907511,0.229989,'not good'
2.67847,0.704207,-0.645088,0.794988,-0.630321,-0.232393,-0.152975,-0.256585,0.047345,good
0.078444,2.048367,-0.899576,0.871023,-0.886189,-1.431144,-0.321649,0.91811,1.066615,'not good'
0.221514,-1.968403,1.218453,-0.101847,-0.636616,0.590414,0.173705,1.449862,-0.396652,good
-0.57321,2.49406,2.405736,-0.189657,0.198496,0.942232,2.248374,0.964225,1.048266,good
3.094959,-0.290688,-0.659536,1.111459,-0.207861,0.463719,-0.381949,0.322247,0.251113,good
3.141731,-0.508033,1.959687,-1.293524,-0.211655,-2.127382,-0.580358,0.85131,0.834232,good
1.077745,-1.567973,1.505952,-0.052215,0.967558,0.750595,-0.640847,0.786883,-0.617559,good
-0.441302,-0.462988,-0.02285,-2.354391,-0.428439,-1.819388,0.906336,0.827451,0.899022,good
0.412954,-2.928064,-2.266362,0.929908,-0.933555,-0.519113,0.494124,0.063855,0.426571,good
-1.93961,0.639466,-0.460866,1.002717,0.274427,1.155142,0.027001,0.094906,0.80169,good
-0.197242,-1.651583,1.523212,0.078154,0.069757,0.19864,-0.080761,-0.798478,-0.292007,good
3.13332,0.528635,-0.348152,-2.540241,0.456948,1.686087,-1.063568,-0.522032,0.773551,'not good'
-0.157714,-0.073117,0.221307,1.135967,-1.061299,0.225993,0.03697,-0.393152,0.300198,'not good'
3.141744,0.937731,-0.496364,1.144975,-0.571433,-0.989134,0.152847,-1.017431,0.067476,good
-2.810561,-0.267515,0.943019,-0.012746,0.776191,-0.173367,-0.985976,-1.618689,0.158902,good
-1.571842,-0.424342,1.124585,-0.496182,0.767827,-0.377957,-0.078382,0.196731,0.229363,good
2.646175,-1.151218,-1.175012,-0.074733,-0.234709,-1.5479,-0.158776,-1.251104,0.150225,'not good'
-0.262281,-1.758082,-1.10795,0.930129,-1.788443,-0.013881,0.298278,-0.220143,1.151685,good
-0.440231,1.184702,-0.524894,-4.522443,-0.694401,3.2478,0.182695,-1.149659,1.694553,good
2.320449,-0.972216,-1.445042,0.269,0.492242,-0.854563,-1.034201,0.579611,-0.519478,'not good'
-2.749831,-0.845926,-0.072784,-0.391757,0.299075,0.369383,0.566785,-0.597512,0.156583,good
0.789792,1.388089,-0.92636,-0.629498,-0.778846,-0.766608,1.649167,-0.961215,-0.824891,'not good'
3.591176,0.957789,-0.822417,0.404068,-0.195182,-0.453625,0.233815,-0.729131,0.449482,'not good'
2.745004,0.083694,-1.221569,0.256181,-0.782484,0.969697,-0.609408,-0.44631,0.10384,good
3.240416,0.915223,0.172697,0.205302,0.69885,-0.500102,0.840272,-0.143065,0.088234,'not good'
-1.455994,0.563659,-0.964326,1.230368,-0.389596,-0.238158,0.552445,-0.218606,0.611207,good
-1.082269,0.783261,-0.237386,0.53143,1.31837,0.447287,-1.100057,0.478661,0.131598,good
0.231285,1.239796,0.23546,1.325182,0.416298,0.973762,0.090743,0.602879,0.881534,good
2.214262,-0.501382,-0.479015,1.166849,-1.4617,-0.596766,0.915888,-0.231732,0.104117,'not good'
-1.180061,1.403515,0.371466,-0.131926,-0.631659,-0.268858,-1.327156,-1.425279,-0.62228,good
2.319441,1.822182,0.573307,-3.927391,-0.547135,4.024516,0.93251,-0.139559,0.27638,'not good'
-0.730875,-0.557243,-1.144835,0.336632,-1.381989,0.498233,0.399622,-1.015701,-0.116029,good
0.521935,-3.382012,0.969539,-1.837078,-0.493929,-0.845302,0.607104,1.238334,0.327249,'not good'
-0.300394,-1.405191,-1.371338,0.375349,-0.458035,-0.064434,-1.2065,-0.562691,-0.657601,'not good'
2.006384,0.126472,-1.014371,0.142659,-0.827862,1.133372,-0.744068,-0.294122,0.132329,'not good'
2.841528,1.693553,1.13965,0.473016,-0.057825,0.18017,2.125308,-0.76585,-1.122135,'not good'
2.64184,1.27555,-0.460358,0.662702,-1.207451,-0.115756,-1.131492,-0.502076,-0.174859,good
1.841543,0.53262,-0.18615,0.910538,-0.630235,1.442923,-1.213066,-1.612626,-0.440106,'not good'
1.351318,-1.219983,0.623197,-0.21346,-0.206646,-0.184432,-0.640605,1.542284,0.296639,good
-1.293486,0.904749,0.519012,-0.503608,-0.309629,0.532964,-0.007234,0.23547,0.077356,good
-1.160865,3.570231,-0.434436,0.817525,-0.306711,-0.637378,0.620243,0.633587,0.22493,good
-0.28638,-2.834992,-2.749363,-0.903111,1.050935,-0.997039,-0.098763,-0.228546,-0.751094,good
-2.932493,-0.528665,0.440083,0.082975,-0.771926,0.225064,0.129609,0.069189,0.490785,good
-0.595965,-0.527619,-0.739012,1.302772,0.196368,-0.491327,0.62972,-1.381136,1.686917,good
1.022501,-0.802766,-0.797056,-0.570964,0.402507,-0.680348,-0.743673,-0.492735,-0.827737,'not good'
-2.07687,0.208843,1.056333,0.052226,-0.503563,-0.733481,-0.216163,-0.006401,-0.485188,good
-1.389568,1.053452,-0.009084,0.794685,0.954249,0.984318,-0.996756,0.031729,0.238432,'not good'
2.549274,1.183501,0.763683,0.50388,0.47723,0.091141,1.554953,0.146535,-0.705413,good
0.962705,-1.745286,-0.628936,1.10882,-0.725765,0.64633,0.111116,0.069619,-0.215824,'not good'
-1.798833,-1.323314,1.390217,-0.5512,-0.419669,-0.986944,-0.013319,-0.301321,-0.13569,good
-0.217352,0.151556,-0.239038,-0.305947,-1.340973,-1.143935,-0.430397,0.124475,-0.14673,good
-2.340929,-0.701674,-0.76091,-0.095958,1.381941,-0.473357,-0.351124,-0.270153,0.440616,good
-2.036862,1.645065,0.274717,-0.056072,0.586415,-0.486953,0.324519,0.428463,0.079747,good
-0.022261,0.891876,0.953908,0.295977,0.538991,0.936847,-0.180055,1.360238,0.886501,'not good'
-1.624582,2.851086,-0.080081,-0.669883,-0.417933,-0.328871,-0.638423,-0.530363,-0.728431,'not good'
-1.374688,-0.245809,0.970875,-0.538118,-0.408005,-0.389849,0.165657,1.066259,0.798375,'not good'
1.57479,0.339064,-1.443834,0.537478,-1.39888,-2.150107,-0.270442,-0.884562,0.172772,'not good'
-1.256503,1.361493,0.106121,0.780921,0.64309,-0.061446,0.015908,0.239204,0.629524,good
-1.516845,-1.829319,-0.781705,-1.326847,-0.919585,-0.894526,-0.509181,0.030116,-0.493225,'not good'
-1.001964,0.064518,-0.757407,-0.87527,-1.136115,-0.597835,-0.772711,-0.509065,-1.729837,'not good'
-3.03199,-2.638083,-0.28911,-2.170925,1.944222,-2.576177,-0.313971,-1.147621,1.144358,good
-0.098439,2.05873,-0.954399,0.72726,-0.792743,-1.396313,-0.46983,1.236021,1.033271,good
-0.508117,-1.233132,-0.67504,0.715384,0.647457,0.580182,-1.866571,0.693054,-0.516371,'not good'
-1.688927,0.469114,-0.969261,-0.130632,-1.716958,0.151058,-0.331002,0.226876,-0.609549,'not good'
-0.709124,2.679786,-0.861122,-0.257339,0.14319,0.098741,-1.005525,1.068936,-0.554249,'not good'
-1.111303,3.196073,-2.536698,0.242692,1.802971,-1.184769,0.282059,0.54125,0.547209,'not good'
-0.797673,0.104408,0.374417,-1.146293,-0.728597,0.536287,0.407035,0.749346,-0.161121,good
-1.28206,-0.295317,0.578244,0.719644,-0.64506,0.642544,-0.05655,-0.167404,0.195398,good
1.282007,-1.562854,0.160973,-0.929683,0.097163,-1.123666,0.459935,1.193913,0.451494,'not good'
-4.11752,-0.203629,-2.475303,-0.667726,1.30495,-0.03989,2.11792,-0.892931,-0.404686,good
-1.528092,-2.254642,0.302774,-0.092284,1.333958,-0.372384,1.171404,-0.122192,0.90744,good
-3.03199,-2.638083,-0.28911,-2.170925,1.944222,-2.576177,-0.313971,-1.147621,1.144358,good
-2.175056,-0.436042,0.047925,0.033962,0.958819,0.875113,-0.058953,-0.270916,0.617902,good
-0.363258,1.475089,0.735613,-1.003066,-1.114015,-0.747452,-1.110854,0.970971,-0.301005,'not good'
1.013562,-0.347534,-1.610275,0.393292,-1.31307,-1.482961,-0.350342,-0.67629,0.028976,'not good'
2.356679,-1.898155,-0.504919,1.095057,-0.855231,-0.697884,1.041732,0.046585,0.503075,'not good'
-0.753254,0.610848,-0.092834,0.26166,0.074942,-0.064749,0.370493,0.173893,-0.302833,good
-0.365164,-1.191086,-2.505788,0.32887,0.077636,0.406122,-1.287913,1.282341,-0.440839,'not good'
-2.306101,0.140705,-0.134252,-0.824159,-0.503897,-0.729799,0.404522,-1.560649,-1.146216,good
-0.730683,1.662588,-1.067661,1.740447,-0.384212,-0.38008,0.269405,0.34635,0.211839,good
-3.486761,0.510393,0.642678,-0.147404,-1.018998,-0.242701,-0.539927,-2.230726,-0.001685,good
-0.11551,0.2838,-1.659877,-0.517257,0.143025,-0.76606,1.202923,1.081051,0.174379,'not good'
0.19005,3.182909,0.370457,-0.446571,-0.656027,0.201078,-1.020733,0.16868,-0.802188,'not good'
-1.636928,0.348729,-0.022827,1.250086,0.701448,0.823609,-0.34098,-0.27807,0.734657,good
2.066533,-0.33047,-1.252947,-0.216019,-0.06163,-1.4252,0.472383,-0.26411,-0.245632,'not good'
-1.608339,0.252651,-0.11804,-0.412202,1.512423,-1.327852,-0.229216,0.10274,0.81964,good
2.091556,1.785091,-0.561008,0.64711,-1.394402,0.170048,1.210014,-1.359365,-0.354996,'not good'
4.156244,1.151814,-2.927103,-4.250507,1.530411,2.339837,0.476387,-1.364939,1.261506,'not good'
1.958155,-0.320826,0.632845,0.151277,0.584722,0.8881,-0.08116,-0.084404,-0.614351,good
0.197809,0.205031,-0.388425,0.941169,-0.875049,-0.344667,-0.314043,-0.538203,0.249458,good
1.256082,-0.991232,-0.410131,0.233707,0.506748,0.367659,-0.628396,-0.232367,-0.447756,'not good'
-1.47287,-1.240559,-0.196739,-0.357541,1.04333,-0.650055,-0.356086,-0.922803,-0.531671,good
2.515061,-0.515142,-1.182378,0.514364,-0.395407,-0.419716,-0.692505,-0.381017,0.411492,'not good'
2.502759,-0.609108,0.622795,0.975792,0.31255,0.456784,-0.248288,-0.316904,0.555943,'not good'
1.337826,-0.269478,-1.692831,-0.408376,0.497091,-0.026956,0.255616,0.413295,-0.424229,'not good'
-1.102013,-0.840104,1.363209,-1.194266,-1.178893,-1.096969,-0.176039,1.502297,0.506233,good
0.624178,-0.356496,-0.089812,1.647379,-0.487824,0.594405,-0.155813,-0.342797,0.821936,good
-0.475386,1.460468,0.099582,-1.095535,-0.655021,1.179011,1.128,-0.506581,-1.605229,'not good'
0.977888,0.421807,0.294365,-1.375633,1.371118,-0.811485,1.297469,0.572138,0.759302,good
0.913984,2.940171,1.957204,-1.268684,-0.114197,-1.320122,-1.155657,1.505124,-0.095311,'not good'
-0.317219,-2.886907,-2.825885,-0.998116,1.152656,-1.034373,-0.086702,-0.338458,-0.850593,'not good'
-0.154754,-0.180568,-0.807703,-0.316884,0.233071,0.711496,-1.157489,0.604491,-0.954686,good
4.236863,-0.710341,0.229688,1.894329,0.254079,-0.398596,-0.597773,-0.116477,0.608882,good
-2.072759,-0.429304,-0.976858,-0.019261,1.896911,-0.149312,0.834648,0.127654,0.703511,good
-1.784996,-0.550331,0.271743,-0.375588,-0.859814,0.744292,0.5994,0.452499,-0.097056,'not good'
1.539856,0.065673,-0.295809,-1.119494,0.891982,0.46407,0.301834,-0.156652,-0.727199,'not good'
2.185489,-0.826939,0.069953,0.930592,0.255139,0.1102,-0.412345,-0.426365,0.379708,good
0.724258,-0.389753,1.093052,-0.28737,-0.422879,0.434359,0.908919,-0.347864,-0.117856,good
-0.824895,-1.122209,-0.403859,0.559966,1.118816,0.190867,0.380549,-0.003394,0.22583,good
-2.003357,0.5056,-0.25935,0.564907,-0.933658,-0.004948,-0.126972,-0.239696,0.342882,good
-1.020031,-0.131331,1.46012,-0.478879,-1.873253,-0.752051,-0.62556,0.264288,-0.866034,good
0.237759,-1.544832,1.936697,0.453285,-0.67094,1.029363,1.571127,0.943938,0.566243,good
-2.277771,-0.554464,-0.024387,-0.734566,1.166528,-1.289478,0.540287,-1.537073,-0.255628,good
-0.525874,0.365267,-0.518556,-0.547526,2.197552,-0.27551,2.445887,-0.087882,0.079637,good
3.057718,-2.259759,2.030114,-0.748836,0.086911,-1.804617,-0.176096,-0.497559,0.84874,good
2.231147,0.745504,0.194638,-0.073175,-0.853268,-0.347012,1.518353,-1.180511,-0.140126,'not good'
-2.115872,-1.775854,-0.299295,0.808731,-0.41339,0.579536,-0.089237,0.637694,-0.181456,good
-0.627621,1.691821,0.741717,-0.787658,0.039401,0.30793,-0.711992,0.32995,0.001796,'not good'
-0.269524,-0.437053,0.264507,0.578283,0.740151,1.098014,-0.865332,0.910722,0.002484,good
1.49011,1.10152,1.165578,0.032243,1.452829,0.054486,0.057572,-0.025358,0.165257,good
2.583898,0.875151,-0.687292,0.924044,-0.991654,0.194123,-1.12142,-0.474216,0.073424,good
2.788983,-0.619542,-0.415437,0.299465,1.379675,-0.149952,-0.092777,-0.332271,-0.631404,'not good'
-1.429737,1.126538,1.287135,-0.621986,-0.206763,-0.198937,1.286131,-0.103819,-0.516488,good
-0.913084,-0.942648,-0.942897,0.734994,0.779048,0.611045,-0.125684,-0.011295,-0.039251,good
-1.644717,-0.965564,1.607658,0.026941,0.001735,-0.324739,-0.146927,0.305288,-0.016761,good
0.633982,-0.562825,-0.279321,1.502282,-0.347672,0.926267,0.193396,-0.246218,0.692424,'not good'
0.959271,1.612259,-1.044496,0.635076,-0.634516,0.076227,2.209267,-0.354291,-0.509422,'not good'
0.71667,1.20859,-1.266429,-0.196998,1.105393,0.231871,1.861659,1.076326,-0.463393,'not good'
-2.390559,1.548795,-0.976101,-0.03915,0.403897,-1.00096,-0.922422,-0.770658,0.257565,good
4.252334,-0.725747,-0.065167,0.774654,0.494126,-0.751926,-0.530525,-0.311281,-0.051705,'not good'
0.660214,-0.742236,1.606495,-0.368266,1.06843,0.238574,-1.458628,-0.597657,-0.366997,good
-1.148731,3.809203,-1.175419,0.003387,0.081487,0.325488,-0.085122,1.384886,-0.244475,'not good'
0.192162,2.78207,0.257612,-1.353009,-0.382918,-0.31872,0.482806,1.671513,0.104854,'not good'
0.549008,-0.768879,0.478187,-0.833774,1.086732,0.296867,-0.647824,0.099418,-0.960072,'not good'
2.373146,0.530692,1.264423,0.927057,-0.362532,0.001529,1.240456,-0.88456,-0.17116,good
1.57142,-0.046594,0.640174,0.542797,0.08786,0.208898,0.593457,-0.001249,-0.794922,'not good'
2.245864,-1.795887,-0.800452,0.920334,-0.821913,-0.831488,0.560858,-0.340578,0.715443,'not good'
-1.590075,-0.814873,0.751364,0.579485,-0.229082,-0.052696,0.048402,0.751181,-0.063647,good
2.597673,0.516861,-0.398594,0.875884,-0.08326,-0.682817,-0.527789,0.137944,0.43523,good
2.337996,1.809597,1.76499,0.034683,1.932559,-0.721082,5.217092,-1.001328,1.047211,good
0.352213,3.43653,0.59542,-0.292416,0.235214,0.04551,-1.034731,2.190029,0.242419,good
1.81705,0.179049,-0.567131,0.620487,-1.252467,-0.754649,-0.436561,-1.026451,0.037161,good
-2.839672,-0.52316,-0.47317,0.445328,1.603197,0.465853,0.062349,-0.955704,0.753563,good
-2.788816,-0.588818,-0.405035,0.099552,0.097842,0.635476,0.424668,-0.068943,0.545793,good
-4.310921,-0.644897,-1.085068,-0.480834,0.496061,-0.434514,0.738644,-0.850949,0.61829,good
0.214127,0.438374,-0.360164,0.243583,0.414028,-0.264625,-0.595087,0.64753,0.222411,'not good'
2.100107,2.013277,-1.070638,-0.555158,-0.940723,-0.589995,1.028168,-0.977791,-0.506812,'not good'
2.290996,-0.438171,0.478107,0.514539,2.067925,0.039962,-1.11805,1.086102,-0.062191,good
0.272998,-0.198026,2.600994,-0.344394,0.910141,0.253854,-0.838901,0.555993,0.440507,good
-1.741428,-3.422326,-1.896734,0.007871,1.782491,-0.612724,1.181356,-0.158866,0.594669,good
1.511533,-0.53324,0.59229,0.290132,0.984546,1.271781,1.056721,-0.300431,-0.983369,'not good'
